year,t2m_c_mean,precip_mm_month_sum,food_production_index,cereal_yield_kg_per_ha,ag_value_added_pct_gdp,prevalence_of_undernourishment_pct,moderate_or_severe_food_insecurity_pct
1960,,,,,,,
1961,,,17.87,743.0,,,
1962,,,18.8,782.8,,,
1963,,,19.7,763.7,,,
1964,,,20.28,717.8,,,
1965,,,21.16,687.1,,,
1966,,,20.3,607.8,,,
1967,,,21.58,693.5,,,
1968,,,22.04,671.1,,,
1969,,,24.49,611.0,,,
1970,,,26.22,722.9,,,
1971,,,23.77,709.6,,,
1972,,,21.16,654.9,,,
1973,,,22.17,659.2,,,
1974,,,24.72,996.1,,,
1975,,,23.16,967.1,,,
1976,,,22.03,725.2,,,
1977,,,21.6,932.6,,,
1978,,,21.39,916.1,,,
1979,,,21.75,1053.3,,,
1980,,,23.23,1087.0,,,
1981,23.761666666666667,1514.87,23.31,1655.5,12.240409246888,,
1982,23.41,1870.65,24.13,1632.9,13.5026901414336,,
1983,23.933333333333334,1766.8400000000001,24.58,1526.0,14.9907328930728,,
1984,23.5425,1406.2,25.99,1266.3,18.3083606550373,,
1985,23.69666666666667,1253.35,27.92,1247.9,18.227639967623,,
1986,23.804166666666664,1390.55,29.24,1156.7,18.0204251588741,,
1987,24.708333333333332,1299.02,29.85,1203.0,20.5521063242771,,
1988,24.325833333333332,1545.29,33.83,1305.5,23.3716488476568,,
1989,23.647499999999997,1532.94,37.24,1252.9,21.2755973365002,,
1990,24.42,1122.23,39.15,1147.9,21.5562632771079,,
1991,24.3025,1157.55,44.38,1094.1,20.8852831060192,,
1992,23.910833333333333,1461.96,47.68,1164.0,20.3211588731035,,
1993,24.09166666666667,1330.93,50.64,1153.1,23.4911304788674,,
1994,23.7925,1630.41,52.48,1132.3,25.1738487759527,,
1995,23.8475,1756.9,54.64,1210.5,25.4865064493222,,
1996,23.73166666666667,1657.22,57.19,1220.4,26.1991591974906,,
1997,23.962500000000002,1356.75,59.14,1182.8,27.4166511440248,,
1998,24.896666666666665,1375.4,61.35,1201.8,27.9083713814094,,
1999,25.599166666666665,623.98,64.06,1239.3,26.0284857101616,,
2000,24.730833333333333,1709.85,64.5,1171.5,21.3572412972176,,
2001,24.594166666666666,822.28,64.33,1233.6,24.4753546604632,8.7,
2002,24.9175,1089.1000000000001,67.65,1255.2,36.9650826661797,8.7,
2003,25.440833333333334,858.91,70.53,1308.8,33.8270605515687,8.8,
2004,26.035,558.07,75.1,1372.8,27.2304536006497,8.9,
2005,26.049166666666665,772.45,79.33,1421.7,26.0892828250796,9.1,
2006,25.507500000000004,994.43,84.33,1507.5,24.7349912601339,9.2,
2007,24.719166666666666,1523.11,79.1,1399.8,24.6625772142283,9.4,
2008,24.646666666666665,1102.44,84.11,1598.4,25.2797507802655,9.6,
2009,25.21666666666667,996.98,75.54,1531.1,26.7488545066519,9.9,
2010,25.110833333333332,1178.19,85.24,1528.0,23.8937040912791,10.4,
2011,25.06833333333333,864.65,78.94,1334.4,22.2347109931956,11.1,
2012,24.915833333333335,1284.17,86.95,1399.0,21.8599586165277,11.7,
2013,25.701666666666668,565.21,84.66,1297.3,20.7586228322439,11.4,
2014,25.645833333333332,863.35,95.48,1555.4,19.9902547680805,11.1,
2015,25.84583333333333,726.64,97.74,1527.1,20.6318934800012,10.7,34.7
2016,25.246666666666666,1390.21,106.78,1596.9,20.9831097083173,10.8,38.7
2017,25.573333333333334,920.5799999999999,109.08,1506.1,20.8465714300542,11.5,42.8
2018,25.6675,904.6800000000001,114.06,1549.3,21.203773720121,12.1,47.1
2019,25.7075,1116.37,109.77,1629.7,25.7349305726601,14.3,53.5
2020,25.074166666666667,1162.18,112.64,1619.9,28.3454204380593,15.8,62.9
2021,25.285,1506.21,117.33,1621.9,29.3882780431661,17.6,69.7
2022,24.2825,1714.71,119.85,1659.5,28.5515522199731,18.7,73.9
2023,26.236666666666668,693.7099999999999,,1548.6,27.718291279131,19.9,74.8
2024,26.06833333333333,1151.47,,1558.0,25.8733343605401,,
2025,26.86,776.4,,,,,
