date,t2m_c,precip_mm_day,precip_mm_month,year
1981-01-01,22.81,0.0,0.0,1981
1981-02-01,25.72,0.03,0.84,1981
1981-03-01,27.54,0.1,3.1,1981
1981-04-01,26.42,5.48,164.4,1981
1981-05-01,24.38,4.02,124.62,1981
1981-06-01,23.71,6.24,187.2,1981
1981-07-01,22.24,12.23,379.13,1981
1981-08-01,22.67,6.61,204.91,1981
1981-09-01,22.89,9.14,274.20000000000005,1981
1981-10-01,23.45,5.47,169.57,1981
1981-11-01,21.62,0.23,6.9,1981
1981-12-01,21.69,0.0,0.0,1981
1982-01-01,24.28,0.12,3.72,1982
1982-02-01,24.66,0.79,22.12,1982
1982-03-01,25.66,2.44,75.64,1982
1982-04-01,25.42,3.82,114.6,1982
1982-05-01,24.4,8.66,268.46,1982
1982-06-01,23.4,10.92,327.6,1982
1982-07-01,22.68,5.79,179.49,1982
1982-08-01,21.85,10.58,327.98,1982
1982-09-01,23.16,11.62,348.6,1982
1982-10-01,22.84,6.24,193.44,1982
1982-11-01,21.07,0.3,9.0,1982
1982-12-01,21.5,0.0,0.0,1982
1983-01-01,20.97,0.0,0.0,1983
1983-02-01,26.09,0.04,1.12,1983
1983-03-01,27.56,0.28,8.680000000000001,1983
1983-04-01,28.26,0.64,19.2,1983
1983-05-01,25.07,9.6,297.6,1983
1983-06-01,23.59,7.66,229.8,1983
1983-07-01,22.63,14.37,445.47,1983
1983-08-01,21.95,15.9,492.9,1983
1983-09-01,22.58,6.85,205.5,1983
1983-10-01,23.0,1.9,58.9,1983
1983-11-01,22.65,0.08,2.4,1983
1983-12-01,22.85,0.17,5.2700000000000005,1983
1984-01-01,22.36,0.0,0.0,1984
1984-02-01,25.11,0.0,0.0,1984
1984-03-01,26.25,1.49,46.19,1984
1984-04-01,25.36,3.89,116.7,1984
1984-05-01,24.15,6.29,194.99,1984
1984-06-01,23.74,4.37,131.1,1984
1984-07-01,22.72,5.21,161.51,1984
1984-08-01,23.03,8.52,264.12,1984
1984-09-01,22.76,10.34,310.2,1984
1984-10-01,23.34,5.59,173.29,1984
1984-11-01,22.16,0.27,8.100000000000001,1984
1984-12-01,21.53,0.0,0.0,1984
1985-01-01,23.97,0.03,0.93,1985
1985-02-01,24.25,0.0,0.0,1985
1985-03-01,25.97,2.07,64.17,1985
1985-04-01,26.0,2.7,81.0,1985
1985-05-01,24.63,5.42,168.02,1985
1985-06-01,22.99,6.4,192.0,1985
1985-07-01,22.18,7.17,222.27,1985
1985-08-01,22.4,6.27,194.37,1985
1985-09-01,22.46,6.92,207.6,1985
1985-10-01,23.06,3.89,120.59,1985
1985-11-01,23.41,0.08,2.4,1985
1985-12-01,23.04,0.0,0.0,1985
1986-01-01,23.86,0.0,0.0,1986
1986-02-01,26.53,0.02,0.56,1986
1986-03-01,26.3,1.25,38.75,1986
1986-04-01,26.41,3.39,101.7,1986
1986-05-01,24.48,6.94,215.14,1986
1986-06-01,23.63,4.66,139.8,1986
1986-07-01,22.12,7.0,217.0,1986
1986-08-01,22.52,8.37,259.47,1986
1986-09-01,22.73,8.14,244.2,1986
1986-10-01,22.96,4.41,136.71,1986
1986-11-01,22.72,1.22,36.6,1986
1986-12-01,21.39,0.02,0.62,1986
1987-01-01,24.02,0.0,0.0,1987
1987-02-01,26.56,0.32,8.96,1987
1987-03-01,26.91,0.92,28.52,1987
1987-04-01,27.62,0.79,23.700000000000003,1987
1987-05-01,27.03,2.74,84.94000000000001,1987
1987-06-01,24.19,7.09,212.7,1987
1987-07-01,23.66,7.82,242.42,1987
1987-08-01,22.97,11.53,357.43,1987
1987-09-01,23.6,7.42,222.6,1987
1987-10-01,23.59,3.74,115.94,1987
1987-11-01,23.19,0.05,1.5,1987
1987-12-01,23.16,0.01,0.31,1987
1988-01-01,24.93,0.0,0.0,1988
1988-02-01,26.76,0.17,4.930000000000001,1988
1988-03-01,27.83,0.57,17.669999999999998,1988
1988-04-01,26.83,3.97,119.1,1988
1988-05-01,25.37,5.67,175.77,1988
1988-06-01,23.73,6.52,195.6,1988
1988-07-01,22.59,9.3,288.3,1988
1988-08-01,22.04,11.99,371.69,1988
1988-09-01,23.09,8.74,262.2,1988
1988-10-01,23.22,3.52,109.12,1988
1988-11-01,22.56,0.02,0.6,1988
1988-12-01,22.96,0.01,0.31,1988
1989-01-01,22.04,0.0,0.0,1989
1989-02-01,24.91,0.0,0.0,1989
1989-03-01,27.32,0.06,1.86,1989
1989-04-01,27.09,3.41,102.3,1989
1989-05-01,24.31,6.14,190.34,1989
1989-06-01,23.2,8.06,241.8,1989
1989-07-01,22.6,9.35,289.85,1989
1989-08-01,22.25,9.76,302.56,1989
1989-09-01,22.88,7.76,232.8,1989
1989-10-01,22.93,5.53,171.43,1989
1989-11-01,22.14,0.0,0.0,1989
1989-12-01,22.1,0.0,0.0,1989
1990-01-01,24.39,0.0,0.0,1990
1990-02-01,25.68,0.05,1.4,1990
1990-03-01,27.88,0.01,0.31,1990
1990-04-01,27.0,3.04,91.2,1990
1990-05-01,24.44,6.58,203.98,1990
1990-06-01,23.78,5.51,165.29999999999998,1990
1990-07-01,22.72,5.18,160.57999999999998,1990
1990-08-01,22.94,5.2,161.20000000000002,1990
1990-09-01,23.18,5.61,168.3,1990
1990-10-01,23.35,4.11,127.41,1990
1990-11-01,23.46,1.16,34.8,1990
1990-12-01,24.22,0.25,7.75,1990
1991-01-01,24.57,0.02,0.62,1991
1991-02-01,27.43,0.16,4.48,1991
1991-03-01,28.18,0.43,13.33,1991
1991-04-01,25.78,4.74,142.20000000000002,1991
1991-05-01,24.84,6.27,194.37,1991
1991-06-01,24.13,5.12,153.6,1991
1991-07-01,22.67,7.03,217.93,1991
1991-08-01,22.01,7.06,218.86,1991
1991-09-01,23.3,4.47,134.1,1991
1991-10-01,23.06,2.46,76.26,1991
1991-11-01,22.89,0.06,1.7999999999999998,1991
1991-12-01,22.77,0.0,0.0,1991
1992-01-01,23.87,0.0,0.0,1992
1992-02-01,26.46,0.0,0.0,1992
1992-03-01,28.05,0.55,17.05,1992
1992-04-01,26.35,4.64,139.2,1992
1992-05-01,24.75,5.65,175.15,1992
1992-06-01,23.43,7.77,233.1,1992
1992-07-01,22.38,8.73,270.63,1992
1992-08-01,21.99,7.82,242.42,1992
1992-09-01,22.58,8.55,256.5,1992
1992-10-01,23.38,4.01,124.31,1992
1992-11-01,21.88,0.12,3.6,1992
1992-12-01,21.81,0.0,0.0,1992
1993-01-01,22.44,0.0,0.0,1993
1993-02-01,25.62,0.04,1.12,1993
1993-03-01,26.63,0.75,23.25,1993
1993-04-01,26.73,2.5,75.0,1993
1993-05-01,25.25,5.91,183.21,1993
1993-06-01,23.87,6.81,204.3,1993
1993-07-01,22.8,9.38,290.78000000000003,1993
1993-08-01,22.49,7.7,238.7,1993
1993-09-01,23.07,6.56,196.8,1993
1993-10-01,23.68,3.45,106.95,1993
1993-11-01,23.75,0.34,10.2,1993
1993-12-01,22.77,0.02,0.62,1993
